id,name,id,niche-url,walkscore-url,compass-url,streeteasy-url,streetadvisor-url,cityreality-url,images
20,NoHo,n/a,https://www.niche.com/places-to-live/n/noho-new-york-city-ny/,https://www.walkscore.com/NY/New_York/NoHo,https://www.compass.com/neighborhood-guides/nyc/noho/,,https://www.streetadvisor.com/noho-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/noho,"https://images.ctfassets.net/ypfe9l9zihcg/36JIlD6C48GoSoySWY2s68/44127a4785cb689c62bd445d1ba5c37c/noho_around_the_block_1.jpg, https://images.ctfassets.net/ypfe9l9zihcg/5OHVB3hQ7SS6iKei8YE4Ce/48dbcfdc5a22c3b5e8ce294b7737f344/noho_around_the_block_the_rental_market_1.jpg"
21,Nolita,475393b1-212e-444b-8aee-e6f8d1d42bef,https://www.niche.com/places-to-live/n/nolita-new-york-city-ny/,https://www.walkscore.com/NY/New_York/NoLita,https://www.compass.com/neighborhood-guides/nyc/nolita/,,,https://www.cityrealty.com/nyc/nolita-little-italy,"https://images.ctfassets.net/ypfe9l9zihcg/5WYwhUh7Co4kCcWomWomk6/2a4c35421706c0023687deec2eede13c/nolita_around_the_block_1.jpg, https://images.ctfassets.net/ypfe9l9zihcg/4WYcQwfzoIoK6EW4sYCgSy/c1648298992e240e0b179d74e8bf13cf/nolita_around_the_block_the_lifestyle_7.jpg"
22,Roosevelt Island,819f8a32-779a-4aac-b2c5-2d632d5764d4,https://www.niche.com/places-to-live/n/roosevelt-island-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Roosevelt_Island,,https://streeteasy.com/neighborhoods/roosevelt-island/,https://www.streetadvisor.com/roosevelt-island-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/roosevelt-island,"https://wp-tid.zillowstatic.com/streeteasy/4/Roosevelt_Island_1a-d23723.jpg, https://wp-tid.zillowstatic.com/streeteasy/4/Roosevelt_Island_Promenade-91266a.jpg"
23,SoHo,40ee36c5-cf65-4679-964c-4f1ea2fc2241,https://www.niche.com/places-to-live/n/soho-new-york-city-ny/,https://www.walkscore.com/NY/New_York/SoHo,https://www.compass.com/neighborhood-guides/nyc/soho/,https://streeteasy.com/neighborhoods/soho/,https://www.streetadvisor.com/soho-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/soho,"https://images.ctfassets.net/ypfe9l9zihcg/4afpnjPF9CCUiCuGiQqKiG/4a257c935ee6f3fb14edcf1731b2fa6d/soho-hero.jpg,  https://images.ctfassets.net/ypfe9l9zihcg/2RMogIZhqw8QyECW4EcoO4/b34f6d6a0bd98da116d878ea23b642b1/soho_around_the_block_youll_fall_in_love_with_3a.jpg"
24,Stuyvesant Town,237f0ffb-4e97-4f09-a67e-0e2f8291a414,https://www.niche.com/places-to-live/n/stuyvesant-town-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Stuyvesant_Town_-_Peter_Cooper_Village,,,https://www.streetadvisor.com/stuyvesant-town-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/stuyvesant-town-pcv,https://imgs.6sqft.com/wp-content/uploads/2017/11/08110210/StuyTown.jpg
25,Theater District,11769434-9011-487b-8174-a80d72455c63,https://www.niche.com/places-to-live/n/theater-district-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Theater_District,https://www.compass.com/neighborhood-guides/nyc/theater-district/,,,https://www.cityrealty.com/nyc/midtown-west,"https://images.ctfassets.net/ypfe9l9zihcg/2IBr3D0rcsWsMs4M4eWsuq/f25195781b1bb5503c517c6e0b9ab5d5/theater_district_around_the_block_what_not_to_expect_1.jpg, https://images.ctfassets.net/ypfe9l9zihcg/OZP0TrnkKOsuI22QQ8MgS/97123292b20034188635ad3c32a9e338/theater_district_around_the_block_what_to_expect_1.jpg?fm=jpg"
26,TriBeCa,19e7b604-2b52-4659-9252-d50f96674b7b,https://www.niche.com/places-to-live/n/tribeca-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Tribeca,https://www.compass.com/neighborhood-guides/nyc/tribeca/,https://streeteasy.com/neighborhoods/tribeca/,https://www.streetadvisor.com/tribeca-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/tribeca,"https://images.ctfassets.net/ypfe9l9zihcg/41lpKBWJywoSGA22iCaIGw/91149bf877f0bdf76f6554f6cf83d3bf/tribeca_around_the_block_the_lifestyle_1.jpg, https://images.ctfassets.net/ypfe9l9zihcg/7xMFOB01YQgMYEg8UWKC4m/7bf222f2a55f4c2d700b6b6e85a2db29/tribeca_around_the_block_what_not_to_expect_2a.jpg"
27,Two Bridges,edfda194-b045-491e-ad06-2e2a6b3b5328,https://www.niche.com/places-to-live/n/two-bridges-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Two_Bridges,,,,https://www.cityrealty.com/nyc/lower-east-side,https://static01.nyt.com/images/2017/12/10/realestate/10LIVING-TWOBRIDGES-slide-ELF7/10LIVING-TWOBRIDGES-slide-ELF7-jumbo.jpg
28,Upper East Side,74af42f6-ca93-4c60-93ad-1f3d4c07b3fe,https://www.niche.com/places-to-live/n/upper-east-side-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Upper_East_Side,https://www.compass.com/neighborhood-guides/nyc/upper-east-side/,https://streeteasy.com/neighborhoods/upper-east-side/,https://www.streetadvisor.com/upper-east-side-manhattan-new-york-city-new-york,"https://www.cityrealty.com/nyc/carnegie-hill, https://www.cityrealty.com/nyc/lenox-hill, https://www.cityrealty.com/nyc/park-fifth-ave-79th-st, https://www.cityrealty.com/nyc/yorkville","https://images.ctfassets.net/ypfe9l9zihcg/3kIC6aMCZy6G2QK6gS2OuI/ff7a715623c37777244389fcec77f07c/upper_east_side_around_the_block_the_lifestyle_1.jpg, https://images.ctfassets.net/ypfe9l9zihcg/GwxFuh4IQ844cYOUCqmyM/4a46ef72ff0769729cee37dee6368a5a/Upper-East-Side_around-the-block_what-to-expect_2a.jpg"
29,Upper West Side,acc2fb87-1171-4f00-aad4-bbd1489b3c6a,https://www.niche.com/places-to-live/n/upper-west-side-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Upper_West_Side,https://www.compass.com/neighborhood-guides/nyc/upper-west-side/,https://streeteasy.com/neighborhoods/upper-west-side/,https://www.streetadvisor.com/upper-west-side-manhattan-new-york-city-new-york,"https://www.cityrealty.com/nyc/broadway-corridor, https://www.cityrealty.com/nyc/central-park-west, https://www.cityrealty.com/nyc/lincoln-center, https://www.cityrealty.com/nyc/riverside-dr-west-end-ave","https://images.ctfassets.net/ypfe9l9zihcg/21iIZsf8E80kyOYO0eiuMU/0c86a2691df15e99df395b5e5734d0d6/upper_west_side_around_the_block_what_to_expect_1.jpg,  https://images.ctfassets.net/ypfe9l9zihcg/3vqg9vDRLaIiWikq2mC0aY/6a44099b8530cbc643e852a7b145cdf2/upper_west_side_around_the_block_the_rental_market_2.jpg"
30,Washington Heights,9bf44164-215d-4ae1-ac53-e1515afc13f5,https://www.niche.com/places-to-live/n/washington-heights-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Washington_Heights,,https://streeteasy.com/neighborhoods/washington-heights/,https://www.streetadvisor.com/washington-heights-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/washington-heights,"https://perfectstrangersofnyc.com/wp-content/uploads/2018/03/DSC_0180.jpg, https://wp-tid.zillowstatic.com/streeteasy/4/Washington_Heights_Street_Vendor-f8427e.jpg"
31,West Village,784a3d90-c8ae-451f-8d5a-e1b54d1cbcb9,https://www.niche.com/places-to-live/n/west-village-new-york-city-ny/,https://www.walkscore.com/NY/New_York/West_Village,https://www.compass.com/neighborhood-guides/nyc/west-village/,https://streeteasy.com/neighborhoods/west-village/,https://www.streetadvisor.com/west-village-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/west-village,"https://images.ctfassets.net/ypfe9l9zihcg/5dH4SzdMzSKAQUoSWw2AkS/7e38d98bf4782ecd6511b45e4aece560/west_village_around_the_block_the_lifestyle_2b.jpg,  https://images.ctfassets.net/ypfe9l9zihcg/QYM47geieAak2KO0AcGYw/2d1f665182faf406386bee6d6a9ce150/west_village_around_the_block_what_to_expect_1.jpg"
